BANCO MACRO S.A.;GRAL. LAMADRID 443 PB;SAN SALVADOR DE JUJUY;Y4600EDI;;;;NO;-24.183703;-65.306968;JUJUY;ATM;1
BANCO MACRO S.A.;GRAL. LAMADRID 459 PB;SAN SALVADOR DE JUJUY;Y4600EDI;388;4239652 int 44652;0;SI;-24.183823;-65.306962;JUJUY;Sucursal;0
INDUSTRIAL AND COMMERCIAL BANK OF CHINA;NECOCHEA 480;SAN SALVADOR DE JUJUY;Y4600EBJ;;;;NO;-24.183204;-65.304309;JUJUY;ATM;1
INDUSTRIAL AND COMMERCIAL BANK OF CHINA;NECOCHEA 480;SAN SALVADOR DE JUJUY;Y4600EBJ;388;4249000;4249000;SI;-24.183204;-65.304309;JUJUY;Sucursal;0
BANCO MACRO S.A.;GRAL. LAMADRID 443 PB;SAN SALVADOR DE JUJUY;Y4600EDI;;;;NO;-24.184277;-65.306968;JUJUY;ATM;1
BANCO MACRO S.A.;AV. SAN MARTIN 110 PB;SUSQUES;Y4600AJK;;;;NO;-24.184277;-65.306962;JUJUY;ATM;1
BANCO MACRO S.A.;ALVEAR 999 PB;SAN SALVADOR DE JUJUY;Y4600AJK;388;4239600 int 0;4239600;SI;-24.184277;-65.306962;JUJUY;Sucursal;0
BANCO BBVA ARGENTINA S.A.;AV. ALVEAR 992;SAN SALVADOR DE JUJUY;Y4600AJL;;;;NO;-24.184311;-65.306824;JUJUY;ATM;1
BANCO BBVA ARGENTINA S.A.;AV. ALVEAR 992;SAN SALVADOR DE JUJUY;Y4600AJL;388;4230219;;NO;-24.184311;-65.306824;JUJUY;ATM;1
BANCO BBVA ARGENTINA S.A.;AV. ALVEAR 992;SAN SALVADOR DE JUJUY;Y4600AJL;388;4230219;;SI;-24.184311;-65.306824;JUJUY;Sucursal;0
BANCO COMAFI SOCIEDAD ANONIMA;GRAL BELGRANO 981;SAN SALVADOR DE JUJUY;Y4600ABQ;;;;NO;-24.185455;-65.308798;JUJUY;ATM;1
BANCO COMAFI SOCIEDAD ANONIMA;GRAL BELGRANO 981;SAN SALVADOR DE JUJUY;Y4600ABQ;388;4244041;4244042;SI;-24.185455;-65.308798;JUJUY;Sucursal;0
COMPAÑIA FINANCIERA ARGENTINA S.A.;ALVEAR 866/8;SAN SALVADOR DE JUJUY;Y4600AJJ;388;44236064;;NO;-24.184193;-65.305109;JUJUY;Sucursal;0
BANCO DE GALICIA Y BUENOS AIRES S.A.U.;ALVEAR 799;SAN SALVADOR DE JUJUY;Y4600AJG;388;4231136;4231136;SI;-24.18408;-65.304111;JUJUY;Sucursal;0
BANCO DE LA NACION ARGENTINA;ALVEAR 801;SAN SALVADOR DE JUJUY;Y4600AJI;;;;NO;-24.18416;-65.304254;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;ALVEAR 801;SAN SALVADOR DE JUJUY;Y4600AJI;;;;NO;-24.184164;-65.304254;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;ALVEAR 801;SAN SALVADOR DE JUJUY;Y4607GVC;388;433159;;SI;-24.184164;-65.304254;JUJUY;Sucursal;0
BANCO SANTANDER RIO S.A.;ALVEAR 802 PB DPTO: 1;SAN SALVADOR DE JUJUY;Y4600AJJ;;;;NO;-24.184225;-65.304189;JUJUY;ATM;1
BANCO SANTANDER RIO S.A.;ALVEAR 802 PB DPTO: 1;SAN SALVADOR DE JUJUY;Y4600AJJ;388;4227173 int 1002;4227173;SI;-24.184225;-65.304189;JUJUY;Sucursal;0
BANCO DE GALICIA Y BUENOS AIRES S.A.U.;GENERAL ALVEAR 526;SAN SALVADOR DE JUJUY;Y4600AJD;;;;NO;-24.184111;-65.302771;JUJUY;ATM;1
BANCO COLUMBIA S.A.;GRAL. MANUEL BELGRANO 931;SAN SALVADOR DE JUJUY;Y4600ABQ;;;;NO;-24.185458;-65.305929;JUJUY;ATM;1
BANCO COLUMBIA S.A.;GRAL. MANUEL BELGRANO 931;SAN SALVADOR DE JUJUY;Y4600ABQ;388;4224387;;SI;-24.185458;-65.305929;JUJUY;Sucursal;0
BANCO HIPOTECARIO S.A.;BELGRANO 901;SAN SALVADOR DE JUJUY;Y4600ABQ;;;;NO;-24.185445;-65.305515;JUJUY;ATM;1
BANCO HIPOTECARIO S.A.;BELGRANO 901;SAN SALVADOR DE JUJUY;Y4600ABQ;388;4226241;;SI;-24.18545;-65.305515;JUJUY;Sucursal;0
BANCO DE GALICIA Y BUENOS AIRES S.A.U.;BELGRANO 877;SAN SALVADOR DE JUJUY;Y4600ABO;;;;NO;-24.185409;-65.305197;JUJUY;ATM;1
HSBC BANK ARGENTINA S.A.;BALCARCE 280;SAN SALVADOR DE JUJUY;Y4600ECF;;;;NO;-24.185569;-65.305544;JUJUY;ATM;1
HSBC BANK ARGENTINA S.A.;BALCARCE 280;SAN SALVADOR DE JUJUY;Y4600ECF;388;4236121 int 1680000;;SI;-24.185569;-65.305544;JUJUY;Sucursal;0
BANCO PATAGONIA S.A.;BELGRANO 836;SAN SALVADOR DE JUJUY;Y4600ABP;;;;NO;-24.185437;-65.304631;JUJUY;ATM;1
BANCO PATAGONIA S.A.;BELGRANO 836;SAN SALVADOR DE JUJUY;Y4600ABS;388;4238572;;SI;-24.185437;-65.304631;JUJUY;Sucursal;0
BANCO CREDICOOP COOPERATIVO LIMITADO;BALCARCE 243;SAN SALVADOR DE JUJUY;Y4600ECE;;;;NO;-24.186161;-65.305436;JUJUY;ATM;1
BANCO CREDICOOP COOPERATIVO LIMITADO;BALCARCE 243;SAN SALVADOR DE JUJUY;Y4600ECE;388;4229499;4229499;NO;-24.186161;-65.305436;JUJUY;ATM;1
BANCO CREDICOOP COOPERATIVO LIMITADO;BALCARCE 243;SAN SALVADOR DE JUJUY;Y4600ECE;388;4229499;4229499;SI;-24.186161;-65.305436;JUJUY;Sucursal;0
BANCO MACRO S.A.;BALBIN 2228 PB;SAN SALVADOR DE JUJUY;Y4600XAU;;;;NO;-24.179107;-65.285095;JUJUY;ATM;1
BANCO MACRO S.A.;BELGRANO 545 PB DPTO: 230;SAN SALVADOR DE JUJUY;Y4600ABI;;;;NO;-24.185203;-65.300721;JUJUY;ATM;1
BANCO MACRO S.A.;LA MADRID 147 PB;SAN SALVADOR DE JUJUY;Y4600EDC;;;;NO;-24.187493;-65.306664;JUJUY;ATM;1
BANCO MACRO S.A.;SAN MARTIN 785 PB;SAN SALVADOR DE JUJUY;Y4600ADO;;;;NO;-24.186629;-65.303839;JUJUY;ATM;1
BANCO MACRO S.A.;SAN MARTIN 785 PB;SAN SALVADOR DE JUJUY;Y4600ADO;388;4227362 int 0;4227362;SI;-24.186629;-65.303839;JUJUY;Sucursal;0
BANCO DE LA NACION ARGENTINA;CORONEL OTERO 160;SAN SALVADOR DE JUJUY;Y4600DZD;388;4310255;;NO;-24.18665;-65.301501;JUJUY;Dependencia automatizada;1
BANCO DE LA NACION ARGENTINA;CORONEL OTERO 160;SAN SALVADOR DE JUJUY;Y4607FHC;;;;NO;-24.18702;-65.30146;JUJUY;ATM;1
BANCO MACRO S.A.;SAN MARTIN PB Y BUSTAMANTE;SAN SALVADOR DE JUJUY;Y4600ADD;;;;NO;-24.186206;-65.296021;JUJUY;ATM;1
BANCO MACRO S.A.;SAN MARTIN PB Y BUSTAMANTE;SAN SALVADOR DE JUJUY;Y4600ADD;388;4222059 int 0;4222059;SI;-24.186206;-65.296021;JUJUY;Sucursal;0
BANCO MACRO S.A.;INDEPENDENCIA PB;SAN SALVADOR DE JUJUY;Y4600AFJ;;;;NO;-24.187568;-65.298009;JUJUY;ATM;1
BANCO PATAGONIA S.A.;AV. ITALIA 47;SAN SALVADOR DE JUJUY;Y4600AWA;;;;NO;-24.1879;-65.2923;JUJUY;ATM;1
